model	frame	data_range	my_fit
Breezer Radar X Pro 2022	steel	a1:h24	51cm (M)
Evil Chamois Hagar GRX 2022	carbon	b1:g24	M
BMC URS One 2022	carbon	a1:f29	M
Mason InSearchOf 2022	steel	b1:h28	50CM
Surly Ghost Grappler 2022	steel	a1:g23	MD
Tumbleweed Stargazer 2022	steel	a1:g21	Medium
Trek Checkpoint SL5 2022	carbon	a1:h22	56 cm
Ribble Gravel SL 2022	carbon	a1:g22	M
Lauf Siegla 2022	carbon	a1:g25	Medium
Tout Terrain Scrambler 28 2022	steel	b1:f20	M
Ritchey Outback frameset 2022	steel	a1:g24	M
Knolly Cache Steel 2022	steel	a1:i21	56CM
No22 Drifter X 2022	titanium	a1:i23	56cm
Niner RLT 9 RDO 2022	carbon	b1:i21	56
Bombtrack Beyond 2 2022	steel	a1:g26	M
OPEN U.P. 2022	carbon	b1:g22	M
Salsa Vaya 2022	steel	a1:h22	55cm
Salsa Fargo front dropout 2022	steel	a1:g22	MD
Salsa Fargo rear dropout 2022	steel	a1:g22	MD
Kona Sutra ULTD 2022	steel	a1:h24	54
Thesis OB1 2022	carbon	a1:g24	M
Cinelli Hobootleg Geo 2022	steel	b1:g23	M
All-City Gorilla Monsoon 2022	steel	a1:h22	52cm
All-City Cosmic Stallion 2022	steel	a1:h22	52cm
Specialized Diverge Evo 2022	aluminum	a1:e25	M
Marin DSX 2 2022	aluminum	b1:g22	M
Whyte Friston Gravel 2022	aluminum	a1:g23	54
Noble GX 5 2022	carbon	b1:i20	54cm
BlackMtnCy Monstercross V5 2022	steel	b1:j22	56cm
BlackMtnCy La Cabra 2022	steel	a1:g24	18"
Enigma Explor Flat Bar 2023	titanium	a6:f30	MED
Chumba Terlingua Steel fdo 2022	steel	a1:h23	54
Shand Stooshie 2022	steel	a1:g23	S
Salsa Warbird 2022	carbon	a1:i22	56cm
Salsa Cutthroat 2022	carbon	a1:g22	54cm
Pinarello Grevil F 2023	carbon	a1:h23	54.7
Canyon Grail 7 1by 2022	aluminum	a1:i30	M
Canyon Grizl 7 1by 2022	aluminum	a1:j30	M
